TIMESTAMP,2013-12-23_16:10~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~THROUGHPUT~TPS,2013-12-23_16:10~UN*X~PHYSICAL_MEMORY~RAM~USED,2013-12-23_16:10~UN*X~SWAP_SPACE~SWAP~USED,2013-12-23_16:10~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~RUNNING~VALUE,2013-12-23_16:10~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~COMPLETED~PER_SECOND,2013-12-23_16:10~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~DISCARDED~PER_SECOND,2013-12-23_16:10~UN*X~MAIN~CPU~USAGE_(%),2013-12-23_16:10~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~SENT~PER_SECOND,2013-12-23_16:10~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~TIME_TAKEN~AVERAGE,2013-12-23_16:10~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~QUEUED~VALUE
00:00:00,,171,0,,,,,,,
00:00:01,,171,0,5.504,0.0,,,11.0,848.0,0.002
00:00:02,9.0,171,0,10.35,9.0,,,10.0,,0.006
00:00:03,21.0,171,0,16.486,21.0,,,10.0,1015.8888888888889,0.028
00:00:04,13.0,171,0,4.288,13.0,,,10.0,860.3225806451613,0.001
00:00:05,10.0,185,0,0.628,10.0,,41.56171285,10.0,63.2,0.006
00:00:06,10.0,185,0,1.028,10.0,,,10.0,103.0,0.003
00:00:07,10.0,185,0,0.632,10.0,,,10.0,61.72727272727273,0.006
00:00:08,10.0,185,0,0.549,11.0,,,10.0,55.2,0.003
00:00:09,10.0,185,0,0.547,9.0,,,10.0,57.09090909090909,0.0
00:00:10,10.0,185,0,0.616,10.0,,31.0483871,10.0,59.36363636363637,0.0
00:00:11,10.0,185,0,0.594,10.0,,,10.0,60.5,0.002
00:00:12,10.0,185,0,0.606,10.0,,,10.0,56.18181818181818,0.001
00:00:13,11.0,185,0,0.587,11.0,,,10.0,62.81818181818182,0.002
00:00:14,9.0,185,0,0.612,10.0,,,10.0,55.27272727272727,0.002
00:00:15,10.0,185,0,0.541,9.0,,49.22600619,10.0,55.9,0.003
00:00:16,10.0,185,0,0.566,10.0,,,10.0,58.0,0.0
00:00:17,11.0,185,0,0.592,11.0,,,10.0,62.2,0.0
00:00:18,9.0,185,0,0.628,9.0,,,10.0,59.72727272727273,0.001
00:00:19,10.0,185,0,0.593,10.0,,,10.0,60.8,0.001
00:00:20,10.0,185,0,0.612,10.0,,47.40061162,10.0,,0.001
00:00:21,10.0,190,0,0.581,10.0,,,10.0,57.63636363636363,0.0
00:00:22,10.0,190,0,0.615,10.0,,,10.0,61.4,0.001
00:00:23,10.0,190,0,0.565,11.0,,,10.0,56.1,0.002
00:00:24,10.0,190,0,0.556,9.0,,,10.0,56.0,0.002
00:00:25,10.0,190,0,0.579,11.0,,35.8974359,10.0,55.63636363636363,0.0
00:00:26,10.0,190,0,0.578,9.0,,,10.0,58.2,0.001
00:00:27,10.0,190,0,0.585,10.0,,,10.0,59.2,0.0
00:00:28,11.0,190,0,0.56,11.0,,,10.0,55.36363636363637,0.001
00:00:29,9.0,190,0,0.568,9.0,,,10.0,57.0,0.0
00:00:30,10.0,190,0,0.622,10.0,,50.78864353,10.0,60.36363636363637,0.0
00:00:31,10.0,190,0,0.561,11.0,,,10.0,56.36363636363637,0.002
00:00:32,10.0,195,0,0.547,9.0,,,10.0,56.63636363636363,0.001
00:00:33,10.0,195,0,0.568,10.0,,,10.0,57.36363636363637,0.001
00:00:34,10.0,195,0,0.599,11.0,,,10.0,63.2,0.001
00:00:35,10.0,195,0,0.627,10.0,,34.15730337,10.0,55.7,0.002
00:00:36,10.0,195,0,0.551,9.0,,,10.0,57.81818181818182,0.0
00:00:37,10.0,199,0,0.598,10.0,,,10.0,60.9,0.0
00:00:38,10.0,199,0,0.607,10.0,,,10.0,,0.002
00:00:39,10.0,199,0,0.609,10.0,,,10.0,60.63636363636363,0.0
00:00:40,10.0,199,0,0.567,10.0,,33.47547974,10.0,56.5,0.0
00:00:41,10.0,199,0,0.591,10.0,,,10.0,58.7,0.0
00:00:42,10.0,199,0,0.588,10.0,,,10.0,58.7,0.0
00:00:43,10.0,199,0,0.621,10.0,,,10.0,61.18181818181818,0.001
00:00:44,10.0,199,0,0.595,10.0,,,10.0,60.3,0.002
00:00:45,10.0,199,0,0.578,10.0,,31.6,10.0,55.36363636363637,0.001
00:00:46,10.0,199,0,0.536,10.0,,,10.0,54.1,0.0
00:00:47,10.0,199,0,0.617,10.0,,,10.0,61.9,0.001
