TIMESTAMP,2013-12-25_19:14~FORUMLOGIN~MAIN~TIME_TAKEN~AVERAGE,2013-12-25_19:14~UN*X~SWAP_SPACE~SWAP~USED,2013-12-25_19:14~FORUMLOGIN~MAIN~QUEUED~VALUE,2013-12-25_19:14~UN*X~MAIN~CPU~USAGE_(%),2013-12-25_19:14~FORUMLOGIN~MAIN~SENT~PER_SECOND,2013-12-25_19:14~FORUMLOGIN~MAIN~RUNNING~VALUE,2013-12-25_19:14~FORUMLOGIN~MAIN~DISCARDED~PER_SECOND,2013-12-25_19:14~FORUMLOGIN~MAIN~THROUGHPUT~TPS,2013-12-25_19:14~UN*X~PHYSICAL_MEMORY~RAM~USED,2013-12-25_19:14~FORUMLOGIN~MAIN~COMPLETED~PER_SECOND
00:00:00,,1388,,,,,,,7319,
00:00:01,1258.0,1388,0.0,,11.0,5.517,,,7319,0.0
00:00:02,964.7142857142857,1388,0.005,,10.0,11.694,,7.0,7319,7.0
00:00:03,811.1333333333333,1388,0.001,,10.0,14.543,,27.0,7319,27.0
00:00:04,64.6,1388,0.0,,10.0,0.746,,9.0,7319,10.0
00:00:05,95.0,1388,0.0,37.69984528,10.0,0.652,,10.0,7469,9.0
00:00:06,60.9,1388,0.002,,10.0,0.979,,10.0,7469,11.0
00:00:07,,1388,0.001,,10.0,0.619,,11.0,7469,10.0
00:00:08,52.45454545454545,1388,0.0,,10.0,0.519,,10.0,7469,10.0
00:00:09,59.36363636363637,1388,0.001,,10.0,0.593,,9.0,7469,10.0
00:00:10,62.0,1388,0.0,15.70932407,10.0,0.632,,10.0,7469,10.0
00:00:11,61.36363636363637,1388,0.0,,10.0,0.632,,11.0,7488,10.0
00:00:12,57.4,1388,0.0,,10.0,0.561,,9.0,7488,10.0
00:00:13,63.7,1388,0.0,,10.0,0.621,,10.0,7488,9.0
00:00:14,61.45454545454545,1388,0.0,,10.0,0.632,,11.0,7488,11.0
00:00:15,65.8,1388,0.0,12.07666054,10.0,0.628,,9.0,7488,10.0
00:00:16,60.81818181818182,1388,0.0,,10.0,0.668,,10.0,7460,10.0
00:00:17,60.1,1388,0.0,,10.0,0.587,,11.0,7460,10.0
00:00:18,60.63636363636363,1388,0.0,,10.0,0.598,,9.0,7460,10.0
00:00:19,59.36363636363637,1388,0.0,,10.0,0.633,,11.0,7460,10.0
00:00:20,65.6,1388,0.0,11.67384148,10.0,0.597,,10.0,7460,10.0
00:00:21,60.5,1388,0.0,,10.0,0.649,,9.0,7460,10.0
00:00:22,57.27272727272727,1388,0.0,,10.0,0.617,,11.0,7474,10.0
00:00:23,56.5,1388,0.0,,10.0,0.569,,9.0,7474,10.0
00:00:24,62.7,1388,0.0,,10.0,0.57,,10.0,7474,10.0
00:00:25,56.54545454545455,1388,0.0,11.98095742,10.0,0.628,,11.0,7474,10.0
00:00:26,,1388,0.0,,10.0,0.574,,9.0,7474,9.0
00:00:27,60.0,1388,0.0,,10.0,0.609,,11.0,7473,11.0
00:00:28,59.5,1388,0.0,,10.0,0.597,,10.0,7473,10.0
00:00:29,56.72727272727273,1388,0.0,,10.0,0.572,,9.0,7473,10.0
00:00:30,65.6,1388,0.0,10.71428571,10.0,0.655,,10.0,7473,10.0
00:00:31,57.9,1388,0.0,,10.0,0.576,,10.0,7473,9.0
00:00:32,71.8,1388,0.0,,10.0,0.704,,10.0,7482,10.0
00:00:33,92.9,1388,0.0,,10.0,0.878,,10.0,7482,10.0
00:00:34,109.18181818181819,1388,0.0,,10.0,1.121,,10.0,7482,10.0
00:00:35,121.6,1388,0.0,15.9222811,10.0,1.134,,10.0,7482,10.0
00:00:36,146.7,1388,0.0,,10.0,1.406,,10.0,7482,10.0
00:00:37,150.6,1388,0.0,,10.0,1.523,,9.0,7493,10.0
00:00:38,187.0,1388,0.0,,10.0,1.718,,10.0,7493,9.0
00:00:39,261.7,1388,0.001,,10.0,2.397,,9.0,7493,9.0
00:00:40,331.77777777777777,1388,0.0,17.78343949,10.0,2.903,,9.0,7493,9.0
