TIMESTAMP,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~THROUGHPUT~TPS,2013-12-27_08:34~UN*X~PHYSICAL_MEMORY~RAM~USED,2013-12-27_08:34~UN*X~SWAP_SPACE~SWAP~USED,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~RUNNING~VALUE,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~COMPLETED~PER_SECOND,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~DISCARDED~PER_SECOND,2013-12-27_08:34~UN*X~MAIN~CPU~USAGE_(%),2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~SENT~PER_SECOND,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~TIME_TAKEN~AVERAGE,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~QUEUED~VALUE
00:00:00,,175,0,,,,,,,
00:00:01,,175,0,5.633,0.0,,,11.0,1400.0,0.0
00:00:02,11.0,175,0,13.398,11.0,,,10.0,,0.007
00:00:03,9.0,175,0,15.025,9.0,,,10.0,1045.909090909091,0.0
00:00:04,27.0,175,0,16.493,27.0,,,10.0,1322.5555555555557,0.0
00:00:05,10.0,189,0,0.654,10.0,,53.9893617,10.0,218.75,0.0
00:00:06,10.0,189,0,0.728,10.0,,,8.0,97.75,0.0
00:00:07,10.0,189,0,0.978,10.0,,,12.0,74.76923076923077,0.001
00:00:08,10.0,189,0,0.62,10.0,,,10.0,60.63636363636363,0.0
00:00:09,10.0,189,0,0.575,10.0,,,10.0,57.3,0.0
00:00:10,10.0,189,0,0.639,10.0,,32.54817987,10.0,63.36363636363637,0.0
00:00:11,10.0,189,0,0.65,10.0,,,10.0,62.5,0.0
00:00:12,10.0,189,0,0.603,10.0,,,10.0,59.2,0.0
00:00:13,10.0,189,0,0.566,10.0,,,10.0,57.9,0.0
00:00:14,10.0,189,0,0.62,10.0,,,10.0,58.54545454545455,0.0
00:00:15,10.0,189,0,0.608,10.0,,44.91525424,10.0,66.9,0.0
00:00:16,10.0,194,0,0.66,10.0,,,10.0,61.09090909090909,0.0
